FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1481473|Barracks Draft|Valley|VA|51|Bath|017|381145N|0793308W|38.1959587|-79.5522673|381017N|0793200W|38.1713889|-79.5333333|502|1647|Williamsville|09/28/1979|
1481491|Bath Alum|Populated Place|VA|51|Bath|017|380255N|0794307W|38.0487375|-79.7186599|||||492|1614|Bath Alum|09/28/1979|
1481496|Bay Lick Hollow|Valley|VA|51|Bath|017|375513N|0794735W|37.920405|-79.7931057|375450N|0794658W|37.9138889|-79.7827778|461|1512|Healing Springs|09/28/1979|
1481518|Bear Hole Run|Stream|VA|51|Bath|017|380526N|0794159W|38.0906816|-79.6997708|380524N|0794337W|38.09|-79.7269444|509|1670|Bath Alum|09/28/1979|
1481522|Bear Loop Branch|Stream|VA|51|Bath|017|375747N|0794838W|37.9631822|-79.8106069|375707N|0794927W|37.9519444|-79.8241667|701|2300|Healing Springs|09/28/1979|
1481527|Bear Rock Trail|Trail|VA|51|Bath|017|380713N|0794257W|38.1204033|-79.7158827|||||1068|3504|Bath Alum|09/28/1979|
1481528|Bear Rocks|Pillar|VA|51|Bath|017|380605N|0794340W|38.1015146|-79.7278274|||||951|3120|Bath Alum|09/28/1979|
1481538|Beards Gap|Gap|VA|51|Bath|017|375350N|0794714W|37.8973498|-79.7872719|||||576|1890|Healing Springs|09/28/1979|
1481539|Beards Gap Hollow|Valley|VA|51|Bath|017|375341N|0794810W|37.8948496|-79.8028281|375402N|0794925W|37.9005556|-79.8236111|414|1358|Healing Springs|09/28/1979|
1481540|Beards Gap Trail|Trail|VA|51|Bath|017|375343N|0794742W|37.8954053|-79.79505|||||451|1480|Healing Springs|09/28/1979|
1481541|Beards Mountain Trail|Trail|VA|51|Bath|017|375811N|0794220W|37.9698497|-79.7056032|||||382|1253|Nimrod Hall|09/28/1979|
1481566|Beaver Run|Stream|VA|51|Bath|017|381123N|0794841W|38.189846|-79.8114423|381022N|0794739W|38.1727778|-79.7941667|608|1995|Sunrise|09/28/1979|
1481688|Bible Camp|Locale|VA|51|Bath|017|375450N|0794502W|37.9140168|-79.7506038|||||370|1214|Healing Springs|09/28/1979|
1481733|Big Hollow|Valley|VA|51|Bath|017|375433N|0794746W|37.909294|-79.7961613|375424N|0794658W|37.9066667|-79.7827778|442|1450|Healing Springs|09/28/1979|
1481734|Big Hollow|Valley|VA|51|Bath|017|375813N|0793755W|37.9704057|-79.63199|375726N|0793938W|37.9572222|-79.6605556|425|1394|Nimrod Hall|09/28/1979|
1481750|Big Lick Draft|Valley|VA|51|Bath|017|375724N|0795903W|37.9567911|-79.9842252|375705N|0800230W|37.9515126|-80.0417278|482|1581|Falling Spring|09/28/1979|
1481753|Big Lick Run|Stream|VA|51|Bath|017|380926N|0795353W|38.1573455|-79.8981121|381113N|0795452W|38.1869444|-79.9144444|623|2044|Minnehaha Springs|09/28/1979|
1481759|Big Piney Hollow|Valley|VA|51|Bath|017|380129N|0795654W|38.0248465|-79.948391|380147N|0795824W|38.0297222|-79.9733333|532|1745|Mountain Grove|09/28/1979|
1481761|Big Piney Mountain|Summit|VA|51|Bath|017|380426N|0794352W|38.0740149|-79.7311605|||||894|2933|Bath Alum|09/28/1979|
1481762|Big Pond|Lake|VA|51|Bath|017|380752N|0794353W|38.1310974|-79.7313268|||||775|2543|Burnsville|09/28/1979|06/27/2011
1481769|Big Ridge|Ridge|VA|51|Bath|017|375702N|0795100W|37.9506818|-79.8500529|||||925|3035|Healing Springs|09/28/1979|
1481770|Big Ridge|Ridge|VA|51|Bath|017|381102N|0795400W|38.1840119|-79.9000569|||||985|3232|Minnehaha Springs|09/28/1979|
1481776|Big Run|Stream|VA|51|Bath|017|381004N|0795306W|38.1679011|-79.8850562|381153N|0795336W|38.1980556|-79.8933333|647|2123|Minnehaha Springs|09/28/1979|
1481787|Big Spring|Spring|VA|51|Bath|017|375643N|0793629W|37.9452565|-79.6079653|||||580|1903|Millboro|09/28/1979|04/19/2011
1481788|Big Spring|Spring|VA|51|Bath|017|380037N|0794252W|38.0101617|-79.7145434|||||438|1437|Bath Alum|09/28/1979|04/19/2011
1481794|Big Turn Run|Stream|VA|51|Bath|017|380717N|0795459W|38.1215124|-79.916446|380638N|0795557W|38.1105556|-79.9325|576|1890|Mountain Grove|09/28/1979|
1481808|Birch Run|Stream|VA|51|Bath|017|380852N|0794600W|38.1479026|-79.7667179|380953N|0794728W|38.1647222|-79.7911111|578|1896|Sunrise|09/28/1979|
1481827|Black Oak Ridge|Ridge|VA|51|Bath|017|380307N|0793536W|38.0520714|-79.5933785|||||565|1854|Green Valley|09/28/1979|
1481834|Blackies Hollow|Valley|VA|51|Bath|017|380234N|0793901W|38.0429046|-79.6503246|380325N|0793845W|38.0569444|-79.6458333|425|1394|Bath Alum|09/28/1979|
1481850|Blowing Springs|Spring|VA|51|Bath|017|380411N|0795317W|38.0697722|-79.8880448|||||529|1736|Mountain Grove|09/28/1979|04/19/2011
1481851|Blowing Springs Campground|Locale|VA|51|Bath|017|380408N|0795304W|38.0690134|-79.8844998|||||518|1699|Mountain Grove|09/28/1979|
1481871|Blue Suck Falls|Falls|VA|51|Bath|017|375417N|0794917W|37.9047362|-79.8212873|||||614|2014|Healing Springs|09/28/1979|04/19/2011
1481872|Blue Suck Hollow|Valley|VA|51|Bath|017|375409N|0794818W|37.9026273|-79.8050505|375416N|0794944W|37.9044444|-79.8288889|427|1401|Healing Springs|09/28/1979|
1481873|Blue Suck Trail|Trail|VA|51|Bath|017|375419N|0794908W|37.9054048|-79.81894|||||622|2041|Healing Springs|09/28/1979|
1481877|Bluegrass Hollow|Valley|VA|51|Bath|017|380201N|0794246W|38.0337377|-79.7128263|380102N|0794341W|38.0172222|-79.7280556|487|1598|Bath Alum|09/28/1979|
1481888|Board Hollow|Valley|VA|51|Bath|017|380730N|0795502W|38.1251235|-79.9172793|380754N|0795534W|38.1316667|-79.9261111|584|1916|Minnehaha Springs|09/28/1979|
1481901|Bogan Run|Stream|VA|51|Bath|017|380914N|0795100W|38.1540127|-79.8500547|380837N|0794935W|38.1436111|-79.8263889|573|1880|Sunrise|09/28/1979|
1481911|Bolar Draft|Valley|VA|51|Bath|017|375915N|0795727W|37.9876246|-79.9575578|380418N|0795416W|38.0717909|-79.9045006|482|1581|Falling Spring|09/28/1979|05/11/2011
1481912|Bolar Gap|Gap|VA|51|Bath|017|381308N|0794053W|38.2190133|-79.6814381|||||704|2310|Burnsville|09/28/1979|
1481913|Bolar Mountain|Summit|VA|51|Bath|017|380339N|0795412W|38.0609577|-79.9033894|||||822|2697|Mountain Grove|09/28/1979|05/11/2011
1481919|Bolshers Run|Stream|VA|51|Bath|017|380600N|0793259W|38.1001266|-79.5497665|380911N|0793207W|38.1531816|-79.5353221|526|1726|Green Valley|09/28/1979|
1481927|Bonner Mountain|Summit|VA|51|Bath|017|380500N|0794501W|38.0834591|-79.7503279|||||1121|3678|Warm Springs|09/28/1979|
1481964|Boys Camp|Locale|VA|51|Bath|017|375457N|0794442W|37.9159612|-79.7450482|||||369|1211|Nimrod Hall|09/28/1979|
1481971|Bratton Cemetery|Cemetery|VA|51|Bath|017|375951N|0793341W|37.9976279|-79.5614328|||||515|1690|Millboro|09/28/1979|
1482036|Brown Hollow|Valley|VA|51|Bath|017|375534N|0794741W|37.9262383|-79.7947725|375604N|0794724W|37.9344444|-79.79|487|1598|Healing Springs|09/28/1979|
1482045|Browns Pond|Lake|VA|51|Bath|017|380917N|0793658W|38.1548478|-79.6161578|||||620|2034|Williamsville|09/28/1979|
1482064|Brushy Hollow Trail|Trail|VA|51|Bath|017|375251N|0794805W|37.8809608|-79.801439|||||419|1375|Healing Springs|09/28/1979|
1482071|Brushy Mountain|Summit|VA|51|Bath|017|375842N|0794816W|37.9784598|-79.8044957|||||1170|3839|Healing Springs|09/28/1979|
1482077|Brushy Ridge|Ridge|VA|51|Bath|017|375802N|0794725W|37.967349|-79.7903284|||||774|2539|Healing Springs|09/28/1979|
1482078|Brushy Ridge|Ridge|VA|51|Bath|017|380127N|0794258W|38.0242934|-79.7161597|||||572|1877|Bath Alum|09/28/1979|
1482079|Brushy Ridge|Ridge|VA|51|Bath|017|380935N|0792742W|38.1598487|-79.4617086|||||776|2546|Deerfield|09/28/1979|
1482082|Brushy Ridge Trail|Trail|VA|51|Bath|017|375755N|0794732W|37.9654046|-79.7922729|||||758|2487|Healing Springs|09/28/1979|
1482092|Bubbling Spring|Spring|VA|51|Bath|017|375536N|0793728W|37.9265936|-79.6245566|||||536|1759|Millboro|09/28/1979|04/19/2011
1482093|Bubbling Spring Recreation Area|Park|VA|51|Bath|017|375538N|0793730W|37.9273507|-79.6250449|||||536|1759|Nimrod Hall|09/28/1979|
1482111|Buck Hollow|Valley|VA|51|Bath|017|375415N|0794759W|37.904294|-79.7997725|375400N|0794718W|37.9|-79.7883333|444|1457|Healing Springs|09/28/1979|
1482113|Buck Lick Hollow|Valley|VA|51|Bath|017|380757N|0795456W|38.1326234|-79.9156126|380858N|0795529W|38.1494444|-79.9247222|595|1952|Minnehaha Springs|09/28/1979|
1482114|Buck Lick Hollow|Valley|VA|51|Bath|017|380945N|0793429W|38.1626257|-79.5747677|380839N|0793337W|38.1441667|-79.5602778|473|1552|Williamsville|09/28/1979|
1482115|Buck Lick Hollow|Valley|VA|51|Bath|017|380318N|0793656W|38.0551269|-79.6156014|380444N|0793809W|38.0790153|-79.63588|446|1463|Green Valley|09/28/1979|
1482116|Buck Lick Run|Stream|VA|51|Bath|017|380706N|0793105W|38.1184599|-79.518099|380903N|0793144W|38.1509594|-79.528933|572|1877|Green Valley|09/28/1979|
1482118|Buck Lick Trail|Trail|VA|51|Bath|017|375404N|0794738W|37.9012385|-79.7939389|||||484|1588|Healing Springs|09/28/1979|
1482128|Buckeye Hollow|Valley|VA|51|Bath|017|380031N|0795522W|38.0087359|-79.9228343|380000N|0795518W|38|-79.9216667|538|1765|Mountain Grove|09/28/1979|
1482133|Buckhorn Draft|Valley|VA|51|Bath|017|380139N|0795641W|38.0276243|-79.9447798|380220N|0795818W|38.0388889|-79.9716667|541|1775|Mountain Grove|09/28/1979|
1482135|Buckhorn Quarters|Valley|VA|51|Bath|017|380101N|0795713W|38.0170687|-79.953669|380111N|0795735W|38.0197222|-79.9597222|518|1699|Mountain Grove|09/28/1979|
1482164|Bullpasture River|Stream|VA|51|Bath|017|381122N|0793349W|38.1895698|-79.5636565|382733N|0792809W|38.4592872|-79.4692115|487|1598|Williamsville|09/28/1979|
1482202|Byrd Point|Cliff|VA|51|Bath|017|381153N|0793406W|38.1981809|-79.5683789|||||597|1959|Williamsville|09/28/1979|
1482231|Callison|Populated Place|VA|51|Bath|017|375843N|0795441W|37.9787363|-79.9114447|||||487|1598|Falling Spring|09/28/1979|
1482236|Calvary Baptist Church|Church|VA|51|Bath|017|375918N|0793712W|37.988461|-79.6200455|||||413|1355|Millboro|09/28/1979|06/11/2007
1482242|Camp Alkulana|Locale|VA|51|Bath|017|375930N|0793712W|37.9917944|-79.6200455|||||401|1316|Millboro|09/28/1979|
1482262|Camp Kannata|Locale|VA|51|Bath|017|380423N|0793910W|38.073182|-79.6528249|||||428|1404|Bath Alum|09/28/1979|
1482290|Campbell Run|Stream|VA|51|Bath|017|380909N|0793555W|38.1526257|-79.5986573|380915N|0793748W|38.1542922|-79.6300471|467|1532|Williamsville|09/28/1979|
1482359|Cascades Creek|Stream|VA|51|Bath|017|375845N|0795436W|37.9792919|-79.9100557|375508N|0795334W|37.9190148|-79.8928322|488|1601|Falling Spring|09/28/1979|
1482371|Castle Run|Stream|VA|51|Bath|017|380748N|0794628W|38.1301249|-79.7744958|380833N|0794430W|38.1426251|-79.7417169|569|1867|Sunrise|09/28/1979|
1482385|Cave Run|Stream|VA|51|Bath|017|381004N|0794455W|38.1679025|-79.7486618|381108N|0794627W|38.1856798|-79.7742185|591|1939|Burnsville|09/28/1979|
1482468|Chestnut Cemetery|Cemetery|VA|51|Bath|017|381006N|0795324W|38.1684566|-79.8900564|||||656|2152|Minnehaha Springs|09/28/1979|
1482483|Chestnut Levels|Flat|VA|51|Bath|017|381230N|0795222W|38.2084563|-79.8728338|||||1123|3684|Sunrise|09/28/1979|
1482499|Chestnut Ridge|Ridge|VA|51|Bath|017|375732N|0794606W|37.959016|-79.7683829|||||613|2011|Healing Springs|09/28/1979|
1482502|Chestnut Ridge|Ridge|VA|51|Bath|017|381031N|0794341W|38.1754025|-79.7281057|||||773|2536|Burnsville|09/28/1979|
1482506|Chestnut Ridge|Summit|VA|51|Bath|017|380438N|0793239W|38.0773491|-79.5442106|||||998|3274|Green Valley|09/28/1979|
1482522|Chimney Rocks|Pillar|VA|51|Bath|017|380526N|0794144W|38.0906816|-79.695604|||||701|2300|Bath Alum|09/28/1979|
1482523|Chimney Run|Stream|VA|51|Bath|017|380611N|0794855W|38.1031804|-79.8153307|380454N|0794508W|38.0816667|-79.7522222|538|1765|Warm Springs|09/28/1979|
1482524|Chimney Run Church|Church|VA|51|Bath|017|380444N|0794701W|38.0790144|-79.7836625|||||690|2264|Warm Springs|09/28/1979|
1482547|Clark Ridge|Ridge|VA|51|Bath|017|380206N|0794109W|38.0351268|-79.6858811|||||540|1772|Bath Alum|09/28/1979|
1482553|Clay Lick Hollow|Valley|VA|51|Bath|017|380002N|0795732W|38.00068|-79.9589469|380023N|0795937W|38.0063889|-79.9936111|500|1640|Mountain Grove|09/28/1979|
1482556|Claylick Draft|Valley|VA|51|Bath|017|375356N|0794529W|37.8990169|-79.758104|375349N|0794705W|37.8969444|-79.7847222|353|1158|Healing Springs|09/28/1979|
1482558|Claylick Run|Stream|VA|51|Bath|017|375354N|0794525W|37.8984613|-79.7569928|375501N|0794629W|37.9169444|-79.7747222|349|1145|Healing Springs|09/28/1979|
1482569|Cleek Cemetery|Cemetery|VA|51|Bath|017|381135N|0794355W|38.1931801|-79.7319949|||||624|2047|Burnsville|09/28/1979|
1482598|Cloverdale Presbyterian Church|Church|VA|51|Bath|017|380701N|0793102W|38.117071|-79.5172657|||||580|1903|Green Valley|09/28/1979|06/11/2007
1482611|Cobbler Mountain|Summit|VA|51|Bath|017|380605N|0794705W|38.1015141|-79.7847738|||||881|2890|Warm Springs|09/28/1979|
1482641|Coles Hollow|Valley|VA|51|Bath|017|380127N|0795144W|38.024292|-79.8622764|380048N|0795039W|38.0133333|-79.8441667|556|1824|Warm Springs|09/28/1979|
1482642|Coles Mountain|Summit|VA|51|Bath|017|380010N|0795420W|38.0029028|-79.9056113|||||863|2831|Mountain Grove|09/28/1979|
1482643|Coles Mountain Fire Trail|Trail|VA|51|Bath|017|375814N|0795639W|37.9706804|-79.9442237|||||846|2776|Falling Spring|09/28/1979|
1482665|Combs Trail|Trail|VA|51|Bath|017|380439N|0795614W|38.0776238|-79.9372798|||||775|2543|Mountain Grove|09/28/1979|
1482731|Coursey Springs State Fish Hatchery|Locale|VA|51|Bath|017|381043N|0793452W|38.1787366|-79.5811569|||||483|1585|Williamsville|09/28/1979|
1482757|Cowardin Run|Stream|VA|51|Bath|017|380213N|0795125W|38.0370696|-79.8569984|380125N|0794850W|38.0236111|-79.8138889|537|1762|Warm Springs|09/28/1979|
1482808|Crane Trail|Trail|VA|51|Bath|017|375522N|0794158W|37.9229059|-79.6994913|||||600|1968|Nimrod Hall|09/28/1979|
1482869|Cub Run|Stream|VA|51|Bath|017|380547N|0794150W|38.0965148|-79.6972708|380619N|0794327W|38.1052778|-79.7241667|517|1696|Bath Alum|09/28/1979|
1482880|Cummings Run|Stream|VA|51|Bath|017|380424N|0795403W|38.0734576|-79.9008894|380329N|0795731W|38.0580556|-79.9586111|522|1713|Mountain Grove|09/28/1979|
1482895|Daggy Hollow|Valley|VA|51|Bath|017|381014N|0793927W|38.1706808|-79.657548|381113N|0794005W|38.1869444|-79.6680556|717|2352|Burnsville|09/28/1979|
1482903|Dam Hollow|Valley|VA|51|Bath|017|381050N|0794927W|38.1806794|-79.8242204|381001N|0794806W|38.1669444|-79.8016667|596|1955|Sunrise|09/28/1979|
1482947|Davis Hollow|Valley|VA|51|Bath|017|380921N|0795344W|38.1559566|-79.895612|380930N|0795232W|38.1583333|-79.8755556|630|2067|Minnehaha Springs|09/28/1979|
1482960|Dean Spur|Ridge|VA|51|Bath|017|380144N|0795315W|38.0290138|-79.8875552|||||681|2234|Mountain Grove|09/28/1979|
1482968|Deep Hollow|Valley|VA|51|Bath|017|380502N|0794012W|38.0840151|-79.6700477|380552N|0794110W|38.0977778|-79.6861111|471|1545|Bath Alum|09/28/1979|
1482972|Deerlick Trail|Trail|VA|51|Bath|017|380040N|0794935W|38.011237|-79.8264415|||||946|3104|Warm Springs|09/28/1979|
1483001|Dickenson Ridges|Ridge|VA|51|Bath|017|380034N|0793946W|38.0095716|-79.6628247|||||488|1601|Bath Alum|09/28/1979|
1483051|Doelick Cove|Valley|VA|51|Bath|017|380014N|0795737W|38.0040133|-79.9603359|380018N|0795749W|38.005|-79.9636111|501|1644|Mountain Grove|09/28/1979|
1483062|Donley Hollow|Valley|VA|51|Bath|017|380600N|0793900W|38.1001261|-79.6500473|380641N|0794016W|38.1113889|-79.6711111|449|1473|Bath Alum|09/28/1979|
1483077|Douthat Lake|Reservoir|VA|51|Bath|017|375421N|0794801W|37.9058696|-79.800276|||||441|1447|Healing Springs|09/28/1979|06/27/2011
1483078|Douthat State Park|Park|VA|51|Bath|017|375350N|0794830W|37.8973495|-79.8083839|||||481|1578|Healing Springs|09/28/1979|
1483081|Doyle Cemetery|Cemetery|VA|51|Bath|017|381436N|0794520W|38.243457|-79.7556072|||||854|2802|Sunrise|09/28/1979|
1483135|Dry Run|Stream|VA|51|Bath|017|375553N|0794648W|37.9315162|-79.7800498|375557N|0794531W|37.9325|-79.7586111|494|1621|Healing Springs|09/28/1979|
1483136|Dry Run|Stream|VA|51|Bath|017|381341N|0794709W|38.2281792|-79.785886|381310N|0794544W|38.2194444|-79.7622222|611|2005|Sunrise|09/28/1979|
1483144|Dry Run|Stream|VA|51|Bath|017|380345N|0794001W|38.0626265|-79.6669918|380943N|0794242W|38.1620694|-79.7117162|421|1381|Bath Alum|09/28/1979|
1483149|Dry Run Ridge|Ridge|VA|51|Bath|017|375647N|0794541W|37.9465163|-79.7614381|||||575|1886|Healing Springs|09/28/1979|
1483166|Duncan Knob|Summit|VA|51|Bath|017|380953N|0794218W|38.1648472|-79.7050494|||||1164|3819|Burnsville|09/28/1979|
1483168|Duncan Ridge|Ridge|VA|51|Bath|017|380916N|0794228W|38.1545695|-79.7078272|||||953|3127|Burnsville|09/28/1979|
1483178|Dunns Gap|Gap|VA|51|Bath|017|380130N|0794858W|38.0251258|-79.8161634|||||667|2188|Warm Springs|09/28/1979|
1483238|Eden United Methodist Church|Church|VA|51|Bath|017|380020N|0795246W|38.0056809|-79.8794991|||||588|1929|Mountain Grove|09/28/1979|06/11/2007
1483292|Ellis Trail|Trail|VA|51|Bath|017|380251N|0795041W|38.0476252|-79.8447758|||||570|1870|Warm Springs|09/28/1979|
1483431|Flagg Knob|Summit|VA|51|Bath|017|380656N|0795357W|38.1156794|-79.8992229|||||895|2936|Mountain Grove|09/28/1979|
1483477|Ford Run|Stream|VA|51|Bath|017|381031N|0794955W|38.1754016|-79.8319985|380900N|0794905W|38.15|-79.8180556|593|1946|Sunrise|09/28/1979|
1483498|Fort Lewis Trail|Trail|VA|51|Bath|017|380844N|0793747W|38.1456812|-79.6297692|||||806|2644|Burnsville|09/28/1979|
1483511|Fowler Spring|Spring|VA|51|Bath|017|380909N|0792832W|38.1526265|-79.4755979|||||631|2070|Deerfield|09/28/1979|
1483520|Foxtail Hollow|Valley|VA|51|Bath|017|380812N|0793641W|38.1367925|-79.6114353|380740N|0793456W|38.1277778|-79.5822222|459|1506|Williamsville|09/28/1979|
1483570|Gabe Hollow Trail|Trail|VA|51|Bath|017|380047N|0795110W|38.0131811|-79.8528315|||||669|2195|Warm Springs|09/28/1979|
1483584|Gap Run|Stream|VA|51|Bath|017|381414N|0794639W|38.2373457|-79.7775525|381337N|0794512W|38.2269444|-79.7533333|648|2126|Sunrise|09/28/1979|
1483598|Gates Hollow|Valley|VA|51|Bath|017|380708N|0793719W|38.1190149|-79.621991|380751N|0793912W|38.130959|-79.6533809|475|1558|Green Valley|09/28/1979|
1483603|George Trail|Trail|VA|51|Bath|017|375947N|0795118W|37.9965146|-79.8550536|||||742|2434|Healing Springs|09/28/1979|
1483618|Gibson Hollow|Valley|VA|51|Bath|017|380552N|0793554W|38.0979042|-79.598379|380726N|0793504W|38.1238889|-79.5844444|481|1578|Green Valley|09/28/1979|
1483624|Gill Gum Hollow|Valley|VA|51|Bath|017|380829N|0795417W|38.1415123|-79.904779|380836N|0795317W|38.1433333|-79.8880556|605|1985|Minnehaha Springs|09/28/1979|
1483625|Gillam Run|Stream|VA|51|Bath|017|375735N|0794518W|37.9598495|-79.755049|375614N|0794501W|37.9372222|-79.7502778|474|1555|Healing Springs|09/28/1979|
1483626|Gillam Run Trail|Trail|VA|51|Bath|017|375626N|0794528W|37.9406831|-79.7578267|||||563|1847|Healing Springs|09/28/1979|
1483651|Givens Run|Stream|VA|51|Bath|017|381229N|0794243W|38.20818|-79.7119944|381155N|0794207W|38.1986111|-79.7019444|619|2031|Burnsville|09/28/1979|
1483770|Graveyard Run|Stream|VA|51|Bath|017|380959N|0795314W|38.1665122|-79.8872784|381040N|0795357W|38.1777778|-79.8991667|642|2106|Minnehaha Springs|09/28/1979|
1483787|Greavers Ridge|Ridge|VA|51|Bath|017|375827N|0795711W|37.9742914|-79.953113|||||710|2329|Falling Spring|09/28/1979|
1483815|Green Valley United Methodist Church|Church|VA|51|Bath|017|380422N|0793512W|38.0729046|-79.5867118|||||487|1598|Green Valley|09/28/1979|06/11/2007
1483838|Griffith Knob|Summit|VA|51|Bath|017|375302N|0794342W|37.8840173|-79.7283806|||||817|2680|Nimrod Hall|09/28/1979|
1483847|Grose Spring|Spring|VA|51|Bath|017|380218N|0795125W|38.0384236|-79.857001|||||537|1762|Warm Springs|09/28/1979|04/19/2011
1483861|Gulley Run|Stream|VA|51|Bath|017|380958N|0794358W|38.1662359|-79.7328281|380954N|0794244W|38.165|-79.7122222|651|2136|Burnsville|09/28/1979|
1483868|Gum Tree Mountain|Summit|VA|51|Bath|017|381049N|0794006W|38.1804028|-79.6683817|||||943|3094|Burnsville|09/28/1979|
1483874|Guys Run|Stream|VA|51|Bath|017|380205N|0793921W|38.0348491|-79.6558802|380120N|0794435W|38.0222222|-79.7430556|415|1362|Bath Alum|09/28/1979|
1483879|Hacken Run|Stream|VA|51|Bath|017|381202N|0794807W|38.2006794|-79.8019975|381104N|0794702W|38.1844444|-79.7838889|611|2005|Sunrise|09/28/1979|
1484028|Hemlock Trail|Trail|VA|51|Bath|017|375955N|0795624W|37.9987358|-79.9400572|||||505|1657|Falling Spring|09/28/1979|
1484055|Hickman Draft|Valley|VA|51|Bath|017|375812N|0794210W|37.9701275|-79.7028254|375633N|0794436W|37.9425|-79.7433333|377|1237|Nimrod Hall|09/28/1979|
1484056|Hickman Draft|Valley|VA|51|Bath|017|380106N|0793934W|38.0184604|-79.6594913|380116N|0794035W|38.0211111|-79.6763889|400|1312|Bath Alum|09/28/1979|
1484064|Hickory Hollow|Valley|VA|51|Bath|017|380311N|0793924W|38.0531823|-79.6567137|380356N|0793854W|38.0655556|-79.6483333|427|1401|Bath Alum|09/28/1979|
1484074|Hidden Valley|Flat|VA|51|Bath|017|380613N|0794857W|38.1037359|-79.8158862|||||539|1768|Warm Springs|09/28/1979|
1484175|Homestead Trail|Trail|VA|51|Bath|017|380021N|0794922W|38.0059593|-79.8228302|||||771|2529|Warm Springs|09/28/1979|
1484206|Hoover Ridge|Ridge|VA|51|Bath|017|375704N|0795545W|37.9512363|-79.9292228|||||607|1991|Falling Spring|09/28/1979|
1484208|Hoover Run|Stream|VA|51|Bath|017|380226N|0795126W|38.0406807|-79.8572763|380206N|0794957W|38.035|-79.8325|532|1745|Warm Springs|09/28/1979|
1484218|Horeb Baptist Church|Church|VA|51|Bath|017|375637N|0794143W|37.943739|-79.6953249|||||431|1414|Nimrod Hall|09/28/1979|06/11/2007
1484239|Hot Springs Run|Stream|VA|51|Bath|017|375845N|0795437W|37.9792919|-79.9103335|375945N|0794832W|37.9959595|-79.8089406|487|1598|Falling Spring|09/28/1979|
1484245|House Hole|Valley|VA|51|Bath|017|381409N|0794649W|38.2359568|-79.7803304|381439N|0794756W|38.2441667|-79.7988889|644|2113|Sunrise|09/28/1979|
